Loss,RMS Error
0.0288356 , 1.43101
0.0286997 , 1.43247
0.0285648 , 1.43393
0.0284313 , 1.43538
0.0282988 , 1.43683
0.0281678 , 1.43827
0.0280377 , 1.4397
0.027909 , 1.44112
0.0277814 , 1.44254
0.0276548 , 1.44395
0.0275295 , 1.44536
0.0274051 , 1.44676
0.0272821 , 1.44815
0.0271599 , 1.44954
0.0270389 , 1.45092
0.026919 , 1.4523
0.0268 , 1.45367
0.0266822 , 1.45503
0.0265652 , 1.45639
0.0264493 , 1.45774
0.0263346 , 1.45909
0.0262206 , 1.46043
0.0261078 , 1.46177
0.0259956 , 1.46309
0.0258845 , 1.46442
0.0257744 , 1.46574
0.0256652 , 1.46705
0.025557 , 1.46836
0.0254496 , 1.46966
0.025343 , 1.47096
0.0252373 , 1.47225
0.0251326 , 1.47353
0.0250287 , 1.47481
0.0249257 , 1.47609
0.0248232 , 1.47736
0.0247219 , 1.47863
0.0246212 , 1.47989
0.0245213 , 1.48114
0.0244224 , 1.48239
0.024324 , 1.48364
0.0242265 , 1.48488
0.0241301 , 1.48612
0.024034 , 1.48735
0.0239388 , 1.48857
0.0238443 , 1.4898
0.0237506 , 1.49101
0.0236576 , 1.49222
0.0235651 , 1.49343
0.0234737 , 1.49463
0.0233828 , 1.49583
0.0232926 , 1.49703
0.023203 , 1.49822
0.0231143 , 1.4994
0.0230259 , 1.50058
0.0229386 , 1.50176
0.0228516 , 1.50293
0.0227653 , 1.5041
0.0226799 , 1.50526
0.0225948 , 1.50642
0.0225106 , 1.50757
0.022427 , 1.50872
0.0223438 , 1.50987
0.0222613 , 1.51101
0.0221796 , 1.51215
0.0220981 , 1.51328
0.0220173 , 1.51441
0.0219373 , 1.51554
0.0218577 , 1.51666
0.0217787 , 1.51778
0.0217002 , 1.51889
0.0216223 , 1.52
0.021545 , 1.52111
0.0214681 , 1.52221
0.021392 , 1.52331
0.0213163 , 1.5244
0.0212411 , 1.52549
0.0211665 , 1.52658
0.0210922 , 1.52766
0.0210186 , 1.52874
0.0209455 , 1.52982
0.0208728 , 1.53089
0.0208007 , 1.53196
0.020729 , 1.53302
0.0206579 , 1.53408
0.0205872 , 1.53514
0.020517 , 1.53619
0.0204472 , 1.53724
0.0203777 , 1.53829
0.020309 , 1.53933
0.0202407 , 1.54037
0.0201728 , 1.54141
0.0201053 , 1.54244
0.0200383 , 1.54347
0.0199717 , 1.5445
0.0199055 , 1.54552
0.0198399 , 1.54654
0.0197745 , 1.54756
0.0197097 , 1.54857
0.0196454 , 1.54958
0.0195813 , 1.55059
0.0195176 , 1.55159
0.0194546 , 1.55259
0.0193917 , 1.55359
0.0193293 , 1.55458
0.0192673 , 1.55557
0.0192056 , 1.55656
0.0191443 , 1.55755
0.0190836 , 1.55853
0.019023 , 1.55951
0.018963 , 1.56048
0.0189033 , 1.56145
0.0188439 , 1.56242
0.0187849 , 1.56339
0.0187263 , 1.56435
0.018668 , 1.56531
0.0186101 , 1.56627
0.0185526 , 1.56722
0.0184953 , 1.56818
0.0184385 , 1.56913
0.0183821 , 1.57007
0.0183259 , 1.57101
0.01827 , 1.57195
0.0182145 , 1.57289
0.0181594 , 1.57383
0.0181045 , 1.57476
0.0180501 , 1.57569
0.0179959 , 1.57661
0.017942 , 1.57754
0.0178885 , 1.57846
0.0178352 , 1.57938
0.0177823 , 1.58029
0.0177297 , 1.58121
0.0176774 , 1.58212
0.0176254 , 1.58302
0.0175737 , 1.58393
0.0175223 , 1.58483
0.0174712 , 1.58573
0.0174203 , 1.58663
0.0173699 , 1.58752
0.0173197 , 1.58841
0.0172697 , 1.5893
0.01722 , 1.59019
0.0171707 , 1.59107
0.0171216 , 1.59196
0.0170727 , 1.59284
0.0170242 , 1.59371
0.0169759 , 1.59459
0.0169279 , 1.59546
0.0168803 , 1.59633
0.0168327 , 1.5972
0.0167855 , 1.59806
0.0167385 , 1.59892
0.0166919 , 1.59978
0.0166455 , 1.60064
0.0165993 , 1.6015
0.0165533 , 1.60235
0.0165078 , 1.6032
0.0164621 , 1.60405
0.0164171 , 1.6049
0.0163721 , 1.60574
0.0163275 , 1.60658
0.0162829 , 1.60742
0.0162388 , 1.60826
0.0161948 , 1.60909
0.0161511 , 1.60993
0.0161075 , 1.61076
0.0160642 , 1.61158
0.0160212 , 1.61241
0.0159785 , 1.61323
0.0159359 , 1.61406
0.0158934 , 1.61488
0.0158513 , 1.61569
0.0158093 , 1.61651
0.0157677 , 1.61732
0.0157261 , 1.61813
0.0156848 , 1.61894
0.0156439 , 1.61975
0.015603 , 1.62055
0.0155623 , 1.62136
0.015522 , 1.62216
0.0154817 , 1.62296
0.0154416 , 1.62375
0.0154018 , 1.62455
0.0153622 , 1.62534
0.0153228 , 1.62613
0.0152836 , 1.62692
0.0152447 , 1.6277
0.0152058 , 1.62849
0.0151672 , 1.62927
0.0151289 , 1.63005
0.0150905 , 1.63083
0.0150524 , 1.63161
0.0150146 , 1.63238
0.0149769 , 1.63316
0.0149395 , 1.63393
0.0149021 , 1.6347
0.014865 , 1.63546
0.0148281 , 1.63623
0.0147914 , 1.63699
0.0147548 , 1.63775
0.0147184 , 1.63851
0.0146822 , 1.63927
0.0146462 , 1.64003
0.0146103 , 1.64078
0.0145746 , 1.64153
0.014539 , 1.64228
0.0145037 , 1.64303
0.0144686 , 1.64378
0.0144336 , 1.64452
0.0143988 , 1.64527
0.0143642 , 1.64601
0.0143296 , 1.64675
0.0142953 , 1.64749
0.0142611 , 1.64822
0.0142271 , 1.64896
0.0141932 , 1.64969
0.0141596 , 1.65042
0.014126 , 1.65115
0.0140926 , 1.65188
0.0140593 , 1.65261
0.0140262 , 1.65333
0.0139933 , 1.65405
0.0139605 , 1.65477
0.0139279 , 1.65549
0.0138955 , 1.65621
0.0138633 , 1.65693
0.0138311 , 1.65764
0.013799 , 1.65835
0.0137672 , 1.65907
0.0137354 , 1.65978
0.0137039 , 1.66048
0.0136723 , 1.66119
0.013641 , 1.66189
0.0136099 , 1.6626
0.0135789 , 1.6633
0.013548 , 1.664
0.0135173 , 1.6647
0.0134866 , 1.66539
0.0134562 , 1.66609
0.0134259 , 1.66678
0.0133957 , 1.66748
0.0133656 , 1.66817
0.0133358 , 1.66886
0.0133059 , 1.66954
0.0132763 , 1.67023
0.0132467 , 1.67091
0.0132173 , 1.6716
0.013188 , 1.67228
0.0131589 , 1.67296
0.0131299 , 1.67364
0.013101 , 1.67431
0.0130723 , 1.67499
0.0130436 , 1.67566
0.0130151 , 1.67634
0.0129868 , 1.67701
0.0129585 , 1.67768
0.0129304 , 1.67835
0.0129023 , 1.67901
0.0128745 , 1.67968
0.0128467 , 1.68034
0.012819 , 1.68101
0.0127914 , 1.68167
0.012764 , 1.68233
0.0127367 , 1.68299
0.0127096 , 1.68364
0.0126825 , 1.6843
0.0126555 , 1.68495
0.0126287 , 1.68561
0.0126019 , 1.68626
0.0125752 , 1.68691
0.0125487 , 1.68756
0.0125222 , 1.6882
0.012496 , 1.68885
0.0124696 , 1.6895
0.0124437 , 1.69014
0.0124176 , 1.69078
0.0123917 , 1.69142
0.012366 , 1.69206
0.0123403 , 1.6927
0.012315 , 1.69334
0.0122895 , 1.69397
0.0122642 , 1.69461
0.0122389 , 1.69524
0.0122137 , 1.69587
0.0121886 , 1.6965
0.0121636 , 1.69713
0.0121388 , 1.69776
0.0121142 , 1.69839
0.0120896 , 1.69901
0.012065 , 1.69964
0.0120407 , 1.70026
0.0120163 , 1.70088
0.0119923 , 1.7015
0.011968 , 1.70212
0.0119439 , 1.70274
0.0119199 , 1.70335
0.0118959 , 1.70397
0.0118721 , 1.70458
0.0118488 , 1.7052
0.0118251 , 1.70581
